127.0.0.1 - - [26/Jul/2023:10:20:40 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:20:41 +0900] "GET /Goit/ HTTP/1.1" 200 449
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:20:46 +0900] "GET /Goit/signIn HTTP/1.1" 500 9982
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:21:26 +0900] "GET /Goit/ HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:21:31 +0900] "GET /Goit/signInPage HTTP/1.1" 200 4111
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:22:12 +0900] "GET /Goit/signInPage HTTP/1.1" 200 4111
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:22:19 +0900] "GET /Goit/signInPage HTTP/1.1" 200 4111
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:22:59 +0900] "GET /Goit/signInPage HTTP/1.1" 200 4077
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:23:02 +0900] "POST /Goit/signIn HTTP/1.1" 500 9985
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:24:39 +0900] "GET /Goit/signInPage HTTP/1.1" 200 4077
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:28:35 +0900] "GET /Goit/signInPage HTTP/1.1" 200 4077
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:29:12 +0900] "POST /Goit/signIn HTTP/1.1" 500 9985
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:33:12 +0900] "GET /Goit/signInPage HTTP/1.1" 200 4077
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:33:24 +0900] "POST /Goit/signIn HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:34:10 +0900] "GET /Goit/signInPage HTTP/1.1" 200 4077
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:34:15 +0900] "POST /Goit/signIn HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:34:26 +0900] "POST /Goit/signIn HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:35:24 +0900] "POST /Goit/signIn HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:40:25 +0900] "GET /Goit/signInPage HTTP/1.1" 200 4114
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:40:26 +0900] "POST /Goit/signIn HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [26/Jul/2023:10:40:34 +0900] "GET /Goit/signInPage HTTP/1.1" 200 4114
