127.0.0.1 - - [06/Aug/2023:12:14:20 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:14:23 +0900] "GET /Goit/ HTTP/1.1" 200 2687
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:14:23 +0900] "GET /Goit/resources/main/main15.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:14:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:14:30 +0900] "GET /Goit/boardList HTTP/1.1" 200 27481
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:14:30 +0900] "GET /Goit/resources/imgUpload/2023/08/01/s/s_5694f62e-06e3-458e-b6c4-eb18c243fbc9_main1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:14:30 +0900] "GET /Goit/resources/imgUpload/2023/08/03/s/s_c6960e30-bf1f-4207-879b-41b882099145_main9.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:14:30 +0900] "GET /Goit/resources/imgUpload/2023/08/03/s/s_fbe2babe-91c0-466d-b69b-09de3bc97cb3_7.%E1%84%8F%E1%85%A5%E1%86%B7%E1%84%91%E1%85%B2%E1%84%90%E1%85%A5%E1%84%8B%E1%85%AD%E1%86%BC_%E1%84%87%E1%85%A1%E1%86%AB%E1%84%8D%E1%85%A1%E1%86%A8ver.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:14:30 +0900] "GET /Goit/resources/imgUpload/2023/08/01/s/s_59c11f58-b623-4fe6-a0ab-fa349a072685_main1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:14:30 +0900] "GET /Goit/resources/imgUpload/2023/08/01/s/s_beb7c4eb-23dd-467f-aec8-780894aa9aeb_main2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:14:30 +0900] "GET /Goit/resources/imgUpload/2023/08/01/s/s_c2779867-6710-4ed9-b266-193a76040098_main2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:14:30 +0900] "GET /Goit/resources/imgUpload/2023/08/01/s/s_03e53e5f-b104-4422-af3e-669aa3fd6fee_main3.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:14:30 +0900] "GET /Goit/resources/imgUpload/2023/08/01/s/s_b49c9bce-3587-4af6-af2b-9ec2ea292a68_main4.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:14:30 +0900] "GET /Goit/resources/imgUpload/2023/08/01/s/s_509c8921-1a75-4e29-9354-92af5d00288b_main8.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:14:30 +0900] "GET /Goit/resources/imgUpload/2023/08/01/s/s_efcc8098-f174-49bb-987a-18eae9eb48f3_main7.gif HTTP/1.1" 304 -
